MemId,Name,Family,Region,ImageUrl,IsClarified
11001,علی آذری,,قوچان و فاروج,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11001,False
11002,منصور آرامی,,بندرعباس، قشم، ابوموسی،حاجی‌آباد و خمیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11002,False
11003,رضا آریان پور,,مینودشت، کلاله، گالیکش و مراوه‌تپه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11003,False
11004,الهام آزاد,,نائین، خور و بیابانک,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11004,False
11005,احد آزادی خواه,,ملایر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11005,False
11006,محمد آشوری تازیانی,,بندرعباس، قشم، ابوموسی،حاجی‌آباد و خمیر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11006,False
11007,محمدحسن آصفری,,اراک، کمیجان و خنداب,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11007,False
11010,مرتضی آقاتهرانی,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11010,False
11008,حبیب آقاجری,,بندرماهشهر، امیدیه، هندیجان و بخش جولکی,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11008,False
11009,سیدعلی آقازاده دافساری,,رشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11009,False
11011,سیدمصطفی آقامیرسلیم,,تهران، شمیرانات، ری، اسلامشهر و پردیس,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11011,False
11012,سیداحمد آوائی,,دزفول,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11012,False
11013,یحیی ابراهیمی,,دلفان و سلسله,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11013,False
11014,ابوالفضل ابوترابی,,نجف‌آباد، تیران و کرون,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11014,f
11015,اکبر احمدپور,,خواف و رشتخوار,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11015,f
11016,سیدلفته احمدنژاد,,خرمشهر,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11016,f
11017,محمدرضا احمدی,,رشت,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11017,f
11018,موسی احمدی,,کنگان، دیر، جم و عسلویه,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11018,f
11019,محمود احمدی بیغش,,شازند,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11019,f
11020,اسفندیار اختیاری کسنویه یزد,,زرتشتیان,https://majles.iran.liara.run/api/TrVotes/GetMemberImage/11020,f
